Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Startle_nostartle,TrialOrder,Round,R2_Minus_R1
1.2,4041,M,0,0,0,1,1,1,2,1,0
1.2,4041,M,0,0,0,1,1,1,4,2,
1.2,4042,M,0,5.8,7.35,1,1,1,2,1,-5.925
1.2,4042,M,0,0,1.425,1,1,1,4,2,
1.2,4043,M,0,39.426,40.475,1,1,1,1,1,
2.3,4054,F,1,2.91,5.71,1,1,1,6,1,
2.3,4056,F,1,0,0,1,1,1,2,2,
2.3,4057,M,1,1.81,3.685,1,1,1,4,1,-3.685
2.3,4057,M,1,0,0,1,1,1,1,2,
2.3,4058,F,1,273.35,274.536,1,1,1,4,1,-274.536
2.3,4058,F,1,0,0,1,1,1,1,2,
3,4051,F,1,2.425,11.799,1,1,1,2,1,-11.799
3,4051,F,1,0,0,1,1,1,2,2,
3,4053,F,1,0,0,1,1,1,2,1,3.04
3,4053,F,1,0,3.04,1,1,1,1,2,
3,4055,M,1,8.83,14.33,1,1,1,6,1,-14.33
3,4055,M,1,0,0,1,1,1,3,2,
4,4018,F,0,2.125,3.493,1,1,1,6,1,
4,4019,M,0,56.7,59.154,1,1,1,3,1,
4,4020,M,0,28.254,77.429,1,1,1,3,1,
4,4021,F,0,12.044,14.219,1,1,1,5,1,
5,3931,F,0,5.151,7.079,1,1,1,4,1,
5,3932,M,0,0,7.095,1,1,1,3,1,
5,3933,F,0,25.921,30.08,1,1,1,1,1,
5,3934,M,0,0,0,1,1,1,1,1,
6,3935,F,1,7.466,28.728,1,1,1,6,1,
6,3936,M,1,12.249,15.849,1,1,1,6,1,
6,3937,M,1,67.21,91.25,1,1,1,6,1,
6,3938,M,1,14.148,93.644,1,1,1,5,1,
7.2,4063,F,1,24.076,26.65,1,1,1,6,1,-23.15
7.2,4063,F,1,1.66,3.5,1,1,1,6,2,
7.2,4068,F,1,2.544,5.015,1,1,1,1,1,-2.895
7.2,4068,F,1,1.44,2.12,1,1,1,1,2,
8.2,4037,M,0,0,1.536,1,1,1,5,1,
8.2,4038,M,0,2.226,6.656,1,1,1,4,1,
9,4048,M,0,0,3.68,1,1,1,3,2,
9,4049,M,0,2.594,4.205,1,1,1,4,1,-0.705
9,4049,M,0,0,3.5,1,1,1,3,2,
9,4052,F,0,0.269,4.21,1,1,1,2,1,3.71
9,4052,F,0,7.02,7.92,1,1,1,1,2,
10,4065,F,1,894.874,895.899,1,1,1,1,1,
10,4066,F,1,4.55,9.62,1,1,1,6,1,-7.81
10,4066,F,1,0,1.81,1,1,1,6,2,
10,4067,M,1,7.139,8.439,1,1,1,4,1,-0.229
