Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Startle_nostartle,TrialOrder
1.2,4041,M,0,0,0,1,1,1,2
1.2,4041,M,0,0,0,1,1,0,6
1.2,4042,M,0,5.8,7.35,1,1,1,2
1.2,4042,M,0,0.65,2.164,1,1,0,5
1.2,4043,M,0,39.426,40.475,1,1,1,1
1.2,4043,M,0,2.275,4.494,1,1,0,4
2.3,4054,F,1,0,0,1,1,0,4
2.3,4054,F,1,2.91,5.71,1,1,1,6
2.3,4057,M,1,2.865,5.14,1,1,0,3
2.3,4057,M,1,1.81,3.685,1,1,1,4
2.3,4058,F,1,0,34.8,1,1,0,1
2.3,4058,F,1,273.35,274.536,1,1,1,4
3,4051,F,1,2.425,11.799,1,1,1,2
3,4051,F,1,0,1.202,1,1,0,1
3,4053,F,1,0,0,1,1,1,2
3,4053,F,1,0,0,1,1,0,6
3,4055,M,1,0,0,1,1,0,4
3,4055,M,1,8.83,14.33,1,1,1,6
4,4018,F,0,120.9,122.93,1,1,0,4
4,4018,F,0,2.125,3.493,1,1,1,6
4,4019,M,0,7.005,22.075,1,1,0,2
4,4019,M,0,56.7,59.154,1,1,1,3
4,4020,M,0,0,0,1,1,0,2
4,4020,M,0,28.254,77.429,1,1,1,3
4,4021,F,0,4.29,7.64,1,1,0,1
4,4021,F,0,12.044,14.219,1,1,1,5
5,3931,F,0,5.151,7.079,1,1,1,4
5,3931,F,0,12.405,14.745,1,1,0,5
5,3932,M,0,0,7.095,1,1,1,3
5,3932,M,0,2.416,6.145,1,1,0,6
5,3933,F,0,25.921,30.08,1,1,1,1
5,3933,F,0,0,0,1,1,0,3
5,3934,M,0,0,0,1,1,1,1
5,3934,M,0,0,0.484,1,1,0,5
6,3935,F,1,667.46,672.619,1,1,0,5
6,3935,F,1,7.466,28.728,1,1,1,6
6,3936,M,1,0,0,1,1,0,2
6,3936,M,1,12.249,15.849,1,1,1,6
6,3937,M,1,12,17.96,1,1,0,1
6,3937,M,1,67.21,91.25,1,1,1,6
6,3938,M,1,3.57,6.17,1,1,0,3
6,3938,M,1,14.148,93.644,1,1,1,5
7.2,4063,F,1,0,0,1,1,0,2
7.2,4063,F,1,24.076,26.65,1,1,1,6
7.2,4068,F,1,2.544,5.015,1,1,1,1
7.2,4068,F,1,0.924,1.449,1,1,0,3
8.2,4037,M,0,0.295,2.51,1,1,0,3
8.2,4037,M,0,0,1.536,1,1,1,5
8.2,4038,M,0,72.65,75.245,1,1,0,1
