Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Trial_withR1,Object_noobject,TrialOrder
1.2,4041,M,0,4.31,5.675,1,1,4,10,1,1
1.2,4041,M,0,0,0,1,1,1,7,1,2
1.2,4041,M,0,201.195,387.165,1,1,3,9,1,3
1.2,4041,M,0,0,0,1,1,5,5,0,5
1.2,4041,M,0,0,0,1,1,2,8,1,6
1.2,4042,M,0,4.84,7.13,1,1,4,10,1,1
1.2,4042,M,0,0,19.86,1,1,1,7,1,2
1.2,4042,M,0,0,0,1,1,5,5,0,3
1.2,4042,M,0,93.71,900,1,0,2,8,1,5
1.2,4042,M,0,658.98,900,1,0,3,9,1,6
1.2,4043,M,0,0,15.215,1,1,5,5,0,1
1.2,4043,M,0,0,65.325,1,1,4,10,1,2
2.3,4056,F,1,0,0,1,1,5,5,0,1
2.3,4056,F,1,900,900,0,0,3,9,1,3
2.3,4056,F,1,21.68,24.64,1,1,2,8,1,4
2.3,4056,F,1,9.85,35.95,1,1,1,7,1,5
2.3,4056,F,1,222.01,654.24,1,1,4,10,1,6
2.3,4057,M,1,2.93,10.04,1,1,1,7,1,2
2.3,4057,M,1,39.54,41.63,1,1,3,9,1,3
2.3,4057,M,1,241.22,242.1,1,1,2,8,1,4
2.3,4057,M,1,900,900,0,0,4,10,1,5
2.3,4057,M,1,7.79,11.73,1,1,5,5,0,6
2.3,4058,F,1,519.7,671,1,1,3,9,1,2
2.3,4058,F,1,39.54,41.63,1,1,4,10,1,3
2.3,4058,F,1,17.02,19.92,1,1,1,7,1,4
2.3,4058,F,1,0.42,1.69,1,1,2,8,1,5
2.3,4058,F,1,2.41,2.66,1,1,5,5,0,6
3,4051,F,1,0,0.59,1,1,5,5,0,1
3,4051,F,1,131.84,154.5,1,1,2,8,1,3
3,4051,F,1,900,900,0,0,3,9,1,4
3,4051,F,1,21.05,32.47,1,1,4,10,1,5
3,4051,F,1,5.13,900,1,0,1,7,1,6
3,4053,F,1,0,1.04,1,1,5,5,0,2
3,4053,F,1,42.56,44.33,1,1,4,10,1,3
3,4053,F,1,164.97,900,1,0,3,9,1,4
3,4053,F,1,16.39,20.85,1,1,1,7,1,5
3,4053,F,1,0.92,2.22,1,1,2,8,1,6
3,4055,M,1,0,1.46,1,1,5,5,0,1
3,4055,M,1,0,0,1,1,4,10,1,2
3,4055,M,1,6.18,7.81,1,1,1,7,1,4
3,4055,M,1,0.43,4.79,1,1,2,8,1,5
3,4055,M,1,900,900,0,0,3,9,1,6
7.2,4063,F,1,21.52,67.64,1,1,1,7,1,1
7.2,4063,F,1,900,900,0,0,3,9,1,2
7.2,4063,F,1,10.2,12.3,1,1,4,10,1,3
7.2,4063,F,1,1.57,2.47,1,1,5,5,0,4
7.2,4063,F,1,1.72,2.42,1,1,2,8,1,5
7.2,4068,F,1,91.17,91.61,1,1,3,9,1,2
7.2,4068,F,1,0,0,1,1,5,5,0,3
7.2,4068,F,1,0,0.15,1,1,2,8,1,4
7.2,4068,F,1,0.49,1.39,1,1,4,10,1,5
7.2,4068,F,1,2.62,3.35,1,1,1,7,1,6
9,4048,M,0,3.44,7.14,1,1,5,5,0,1
9,4048,M,0,6.72,10.7,1,1,2,8,1,2
9,4048,M,0,78.37,84.65,1,1,4,10,1,4
9,4048,M,0,900,900,0,0,3,9,1,5
9,4048,M,0,6.2,7.35,1,1,1,7,1,6
9,4049,M,0,7.09,9.72,1,1,4,10,1,1
9,4049,M,0,8.27,13.78,1,1,2,8,1,2
9,4049,M,0,0.4,2.15,1,1,1,7,1,4
9,4049,M,0,0,1.74,1,1,5,5,0,5
9,4049,M,0,900,900,0,0,3,9,1,6
9,4052,F,0,25.73,27.79,1,1,4,10,1,2
9,4052,F,0,394.51,397.12,1,1,3,9,1,3
9,4052,F,0,1.78,4.29,1,1,5,5,0,4
9,4052,F,0,11.55,15.97,1,1,2,8,1,5
9,4052,F,0,0,0.7,1,1,1,7,1,6
10,4066,F,1,5.22,7,1,1,5,5,0,1
10,4066,F,1,36.6,39.98,1,1,4,10,1,2
10,4066,F,1,1.53,4,1,1,1,7,1,3
10,4066,F,1,168.83,172.09,1,1,3,9,1,4
10,4066,F,1,0,0,1,1,2,8,1,5
10,4067,M,1,14.21,14.83,1,1,2,8,1,1
10,4067,M,1,103.1,723.32,1,1,3,9,1,2
10,4067,M,1,1.67,2.65,1,1,4,10,1,3
10,4067,M,1,0,0,1,1,5,5,0,5
10,4067,M,1,19.01,36.96,1,1,1,7,1,6
11,4074,F,1,18.71,24.9,1,1,5,5,0,1
11,4074,F,1,661.36,900,1,0,3,9,1,2
11,4074,F,1,399.9,402.69,1,1,4,10,1,3
11,4074,F,1,40.29,478.77,1,1,1,7,1,5
11,4074,F,1,87.8,146.17,1,1,2,8,1,6
11,4075,M,1,900,900,0,0,3,9,1,1
11,4075,M,1,9.98,15.56,1,1,5,5,0,2
11,4075,M,1,40.5,44.62,1,1,4,10,1,3
11,4075,M,1,200.62,203.92,1,1,1,7,1,5
11,4075,M,1,40.94,900,1,0,2,8,1,6
11,4076,M,1,0.28,0.85,1,1,5,5,0,1
11,4076,M,1,8.44,13.31,1,1,4,10,1,2
11,4076,M,1,201.12,204.1,1,1,3,9,1,4
11,4076,M,1,301.2,303.17,1,1,2,8,1,5
11,4076,M,1,231.12,235.37,1,1,1,7,1,6
12,4069,F,0,861.4,900,1,0,3,9,1,1
