Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Trial_withR1,Object_noobject,TrialOrder
1.2,4041,M,0,0,0,1,1,0,0,0,5
1.2,4042,M,0,0,0,1,1,0,0,0,3
1.2,4043,M,0,0,15.215,1,1,0,0,0,1
2.3,4056,F,1,0,0,1,1,0,0,0,1
2.3,4057,M,1,7.79,11.73,1,1,0,0,0,6
2.3,4058,F,1,2.41,2.66,1,1,0,0,0,6
3,4051,F,1,0,0.59,1,1,0,0,0,1
3,4053,F,1,0,1.04,1,1,0,0,0,2
3,4055,M,1,0,1.46,1,1,0,0,0,1
7.2,4063,F,1,1.57,2.47,1,1,0,0,0,4
7.2,4068,F,1,0,0,1,1,0,0,0,3
9,4048,M,0,3.44,7.14,1,1,0,0,0,1
9,4049,M,0,0,1.74,1,1,0,0,0,5
9,4052,F,0,1.78,4.29,1,1,0,0,0,4
10,4066,F,1,5.22,7,1,1,0,0,0,1
10,4067,M,1,0,0,1,1,0,0,0,5
11,4074,F,1,18.71,24.9,1,1,0,0,0,1
11,4075,M,1,9.98,15.56,1,1,0,0,0,2
11,4076,M,1,0.28,0.85,1,1,0,0,0,1
12,4069,F,0,0,0,1,1,0,0,0,6
12,4070,M,0,0,0,1,1,0,0,0,2
12,4071,F,0,0,0,1,1,0,0,0,2
14,4161,M,0,4.77,6.6,1,1,0,0,0,3
14,4163,M,0,2.54,19.24,1,1,0,0,0,1
14,4165,F,0,0,11.01,1,1,0,0,0,3
14,4166,M,0,22.71,42.51,1,1,0,0,0,4
15,4129,M,1,0,0,1,1,0,0,0,6
15,4130,F,1,4.11,7.11,1,1,0,0,0,2
15,4131,F,1,0,0,1,1,0,0,0,4
15,4133,M,1,0,2.66,1,1,0,0,0,1
16,4059,M,0,0,0,1,1,0,0,0,3
16,4060,M,0,0,0,1,1,0,0,0,3
16,4061,F,0,0,1.61,1,1,0,0,0,4
17,4086,M,1,0,0,1,1,0,0,0,5
17,4087,M,1,0,3.161,1,1,0,0,0,6
19,4095,F,0,0,4.71,1,1,0,0,0,3
