Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,Startle_nostartle,TrialOrder,StatusFeed
1.2,4041,M,0,0,0,1,4,1
1.2,4041,M,0,0,0,0,5,1
1.2,4042,M,0,0,0,0,3,1
1.2,4042,M,0,0,1.425,1,4,1
1.2,4043,M,0,0,15.215,0,1,1
2.3,4056,F,1,0,0,0,1,1
2.3,4056,F,1,0,0,1,2,1
2.3,4057,M,1,0,0,1,1,1
2.3,4057,M,1,7.79,11.73,0,6,1
2.3,4058,F,1,0,0,1,1,1
2.3,4058,F,1,2.41,2.66,0,6,1
3,4051,F,1,0,0.59,0,1,1
3,4051,F,1,0,0,1,2,1
3,4053,F,1,0,3.04,1,1,1
3,4053,F,1,0,1.04,0,2,1
3,4055,M,1,0,1.46,0,1,1
3,4055,M,1,0,0,1,3,1
7.2,4063,F,1,1.57,2.47,0,4,1
7.2,4063,F,1,1.66,3.5,1,6,1
7.2,4068,F,1,1.44,2.12,1,1,1
7.2,4068,F,1,0,0,0,3,1
9,4048,M,0,3.44,7.14,0,1,1
9,4048,M,0,0,3.68,1,3,1
9,4049,M,0,0,3.5,1,3,1
9,4049,M,0,0,1.74,0,5,1
9,4052,F,0,7.02,7.92,1,1,1
9,4052,F,0,1.78,4.29,0,4,1
10,4066,F,1,5.22,7,0,1,1
10,4066,F,1,0,1.81,1,6,1
10,4067,M,1,5.93,8.21,1,1,1
10,4067,M,1,0,0,0,5,1
11,4074,F,1,18.71,24.9,0,1,1
11,4074,F,1,161.62,34.5,1,4,1
11,4075,M,1,9.98,15.56,0,1,1
11,4075,M,1,10.9,12.18,1,4,1
11,4076,M,1,0.28,0.85,0,1,1
11,4076,M,1,21.65,35.03,1,3,1
12,4069,F,0,0.716,4.605,1,5,1
12,4069,F,0,0,0,0,6,1
12,4070,M,0,0,0,0,2,1
12,4070,M,0,0,0,1,5,1
12,4071,F,0,0,0,0,2,1
14,4161,M,0,4.77,6.6,0,3,1
14,4161,M,0,12.23,14.28,1,4,1
14,4163,M,0,2.54,19.24,0,1,1
14,4163,M,0,0,57.35,1,3,1
14,4164,M,0,1.68,30,1,3,1
14,4165,F,0,0,5.02,1,2,1
14,4165,F,0,0,11.01,0,3,1
14,4166,M,0,848.96,849.32,1,1,1
14,4166,M,0,22.71,42.51,0,4,1
15,4129,M,1,0,5.38,1,4,1
15,4129,M,1,0,0,0,6,1
15,4130,F,1,4.11,7.11,0,2,1
15,4130,F,1,0.49,14.78,1,4,1
15,4131,F,1,0,60.32,1,4,1
15,4131,F,1,0,0,0,5,1
15,4132,M,1,0.46,2.09,1,3,1
15,4133,M,1,0,2.66,0,1,1
15,4133,M,1,0,2.15,1,2,1
16,4059,M,0,0,0,0,3,1
16,4059,M,0,0,2.56,1,4,1
16,4060,M,0,0,0,0,3,1
16,4060,M,0,0,0,1,4,1
16,4061,F,0,2.16,7.91,1,1,1
16,4061,F,0,0,1.61,0,4,1
17,4086,M,1,0,0,1,3,1
17,4086,M,1,0,0,0,5,1
17,4087,M,1,0,0.616,1,1,1
17,4087,M,1,0,3.161,0,6,1
19,4093,M,0,0.725,0.738,1,3,1
19,4094,F,0,0,1.099,1,1,1
19,4095,F,0,0,4.71,0,3,1
19,4095,F,0,0,0.315,1,6,1
19,4099,M,0,0,0,0,3,1
19,4099,M,0,0,1.899,1,4,1
20,4089,M,1,0,0,1,1,1
20,4089,M,1,0,0,0,3,1
20,4090,M,1,0,0,1,1,1
20,4091,F,1,0,0,0,5,1
20,4091,F,1,0,274.549,1,6,1
20,4092,F,1,4.62,31.736,1,1,1
22,4140,M,1,0,4.14,0,2,1
22,4140,M,1,153.6,156.27,1,4,1
22,4141,M,1,0,0,0,1,1
22,4145,F,1,2.75,900,1,1,0
22,4145,F,1,0,477.87,0,5,1
23,4134,M,0,0,10.83,1,5,1
23,4137,M,0,13.76,19.85,1,3,1
23,4138,F,0,0,6.97,1,2,1
23,4138,F,0,0,0,0,6,1
25,4146,F,1,32.79,35.57,1,1,1
25,4148,M,1,0,0,0,2,1
25,4148,M,1,0,1.45,1,6,1
27,4142,M,0,0,0,0,5,1
27,4143,F,0,0,2.2,1,3,1
27,4143,F,0,0,0,0,5,1
27,4144,F,0,0,3.86,1,2,1
29,4153,M,1,2.45,5.89,0,6,1
29,4158,F,1,8.68,9.86,0,4,1
