Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Trial_withR1,Object_noobject,TrialOrder,Round,Average_Neophobia,R2_Minus_R1
1.2,4041,M,0,191.159,900,1,0,1,1,1,5,1,455.10475,-356.89475
1.2,4041,M,0,12.086,19.368,1,1,2,2,1,1,1,455.10475,-356.89475
1.2,4041,M,0,3.831,900,1,0,3,3,1,4,1,455.10475,-356.89475
1.2,4041,M,0,0,1.051,1,1,4,4,1,3,1,455.10475,-356.89475
1.2,4041,M,0,0,0,1,1,1,7,1,2,2,98.21,-356.89475
1.2,4041,M,0,0,0,1,1,2,8,1,6,2,98.21,-356.89475
1.2,4041,M,0,201.195,387.165,1,1,3,9,1,3,2,98.21,-356.89475
1.2,4041,M,0,4.31,5.675,1,1,4,10,1,1,2,98.21,-356.89475
1.2,4042,M,0,900,900,0,0,1,1,1,6,1,242.9805,213.767
1.2,4042,M,0,6.625,11.45,1,1,2,2,1,4,1,242.9805,213.767
1.2,4042,M,0,2.92,6.45,1,1,3,3,1,3,1,242.9805,213.767
1.2,4042,M,0,40.219,54.022,1,1,4,4,1,1,1,242.9805,213.767
1.2,4042,M,0,0,19.86,1,1,1,7,1,2,2,456.7475,213.767
1.2,4042,M,0,93.71,900,1,0,2,8,1,5,2,456.7475,213.767
1.2,4042,M,0,658.98,900,1,0,3,9,1,6,2,456.7475,213.767
1.2,4042,M,0,4.84,7.13,1,1,4,10,1,1,2,456.7475,213.767
1.2,4043,M,0,900,900,0,0,1,1,1,6,1,680.32375,-614.99875
1.2,4043,M,0,13.425,21.295,1,1,2,2,1,2,1,680.32375,-614.99875
1.2,4043,M,0,900,900,0,0,3,3,1,3,1,680.32375,-614.99875
1.2,4043,M,0,577.421,900,1,0,4,4,1,5,1,680.32375,-614.99875
1.2,4043,M,0,0,65.325,1,1,4,10,1,2,2,65.325,-614.99875
2.3,4054,F,1,900,900,0,0,1,1,1,3,1,900,
2.3,4054,F,1,169.825,900,1,0,2,2,1,2,1,900,
2.3,4054,F,1,0,900,1,0,3,3,1,1,1,900,
2.3,4054,F,1,324.725,900,1,0,4,4,1,5,1,900,
2.3,4056,F,1,330.025,900,1,0,1,1,1,2,1,900,-496.2925
2.3,4056,F,1,900,900,0,0,3,3,1,1,1,900,-496.2925
